Date,Open,High,Low,Close,Volume
23-May-12,7.65,11.47,7.43,11.24,6160059
22-May-12,7.00,7.89,6.82,7.43,1883708
21-May-12,6.38,8.11,6.21,6.86,4371356
18-May-12,4.10,5.58,3.85,5.50,1813176
17-May-12,4.49,5.48,3.80,3.95,3135984
16-May-12,2.57,7.84,2.41,4.99,6065411
15-May-12,1.78,1.98,1.40,1.62,459697
14-May-12,2.49,2.54,2.01,2.10,47078
11-May-12,2.46,2.46,2.36,2.43,14911
10-May-12,2.54,2.54,2.32,2.32,10606
9-May-12,2.33,2.40,2.30,2.32,7356
8-May-12,2.54,2.54,2.30,2.52,4224
7-May-12,2.52,2.54,2.27,2.53,41042
4-May-12,2.54,2.54,2.40,2.40,2137
3-May-12,2.42,2.48,2.36,2.48,23590
2-May-12,2.43,2.55,2.40,2.40,10159
1-May-12,2.43,2.55,2.43,2.43,14664
30-Apr-12,2.40,2.70,2.40,2.55,15702
27-Apr-12,2.48,2.62,2.42,2.48,14405
26-Apr-12,2.52,2.70,2.46,2.55,4175
25-Apr-12,2.83,2.83,2.48,2.50,12803
24-Apr-12,2.85,2.85,2.48,2.55,16948
23-Apr-12,2.70,2.85,2.55,2.58,29993
20-Apr-12,3.00,3.00,2.62,2.66,51550
19-Apr-12,2.70,3.72,2.61,2.85,291850
18-Apr-12,2.48,2.55,2.27,2.40,26269
17-Apr-12,2.50,2.62,2.41,2.53,22137
16-Apr-12,2.55,2.66,2.40,2.54,52962
13-Apr-12,2.55,2.56,2.40,2.42,69228
12-Apr-12,2.48,2.61,2.40,2.40,317383
11-Apr-12,5.55,5.70,5.10,5.40,14073
10-Apr-12,5.55,5.98,5.29,5.55,2826
9-Apr-12,5.55,5.85,5.55,5.84,3024
5-Apr-12,5.70,5.98,5.47,5.55,4104
4-Apr-12,6.00,6.00,5.70,5.70,4071
3-Apr-12,6.45,6.45,5.85,5.86,4773
2-Apr-12,6.45,6.45,5.75,5.86,6341
30-Mar-12,6.00,6.36,5.85,6.27,6588
29-Mar-12,5.55,6.00,5.49,5.70,4227
28-Mar-12,5.85,5.97,5.42,5.70,5787
27-Mar-12,5.55,6.30,5.55,5.55,7927
26-Mar-12,6.30,6.30,5.40,5.45,13402
23-Mar-12,6.00,6.51,5.72,6.15,11789
22-Mar-12,7.38,7.38,5.70,5.78,27836
21-Mar-12,9.33,9.60,6.75,7.05,73324
20-Mar-12,5.25,9.15,5.00,8.70,181102
19-Mar-12,4.64,5.52,4.35,4.80,31036
16-Mar-12,4.58,4.58,4.08,4.32,2763
15-Mar-12,4.64,4.64,4.42,4.50,1455
14-Mar-12,3.90,4.48,3.90,4.44,5513
13-Mar-12,4.38,4.38,3.75,3.80,9674
12-Mar-12,4.65,4.91,4.35,4.35,4168
9-Mar-12,4.54,5.05,4.54,4.65,1869
8-Mar-12,4.80,4.81,4.53,4.65,5712
7-Mar-12,5.10,5.10,4.68,4.68,11643
6-Mar-12,5.10,5.10,4.67,4.95,1825
5-Mar-12,4.82,5.24,4.66,5.10,6601
2-Mar-12,4.65,5.40,4.65,4.66,9354
1-Mar-12,4.78,4.95,4.66,4.66,3967
29-Feb-12,5.12,5.25,4.79,4.98,4565
28-Feb-12,5.12,5.55,5.06,5.06,4416
27-Feb-12,5.07,5.40,4.95,5.25,5054
24-Feb-12,5.70,5.70,4.95,4.95,4249
23-Feb-12,4.86,5.55,4.86,5.32,4831
22-Feb-12,5.55,5.78,5.25,5.29,17008
21-Feb-12,4.98,5.40,4.69,5.25,8064
17-Feb-12,5.26,5.55,4.95,5.07,8495
16-Feb-12,5.26,5.76,5.25,5.25,5640
15-Feb-12,6.00,6.28,5.07,5.85,12610
14-Feb-12,6.27,6.27,5.40,5.70,16435
13-Feb-12,5.40,7.35,5.40,5.59,78975
10-Feb-12,5.70,5.70,5.17,5.40,7432
9-Feb-12,5.70,5.70,5.18,5.20,4431
8-Feb-12,5.25,5.43,4.84,5.40,8997
7-Feb-12,5.10,5.70,4.72,5.21,17659
6-Feb-12,4.65,5.97,4.65,5.05,37377
3-Feb-12,5.03,5.40,4.53,4.56,18704
2-Feb-12,5.40,5.85,4.95,4.95,14027
1-Feb-12,5.70,6.30,5.42,5.70,29942
31-Jan-12,5.70,6.52,5.40,5.70,23848
30-Jan-12,6.45,6.75,5.55,5.85,28893
27-Jan-12,6.00,9.30,5.55,6.60,141803
26-Jan-12,9.00,11.25,6.22,6.45,272353
25-Jan-12,4.50,8.25,4.50,8.25,214497
24-Jan-12,3.90,4.65,3.68,4.05,7000
23-Jan-12,3.75,3.90,3.60,3.60,2167
20-Jan-12,3.75,3.75,3.45,3.60,3252
19-Jan-12,3.30,3.75,3.00,3.58,5454
18-Jan-12,3.90,4.14,3.34,3.34,7230
17-Jan-12,3.45,4.35,3.37,3.87,22716
13-Jan-12,3.30,3.30,3.30,3.30,0
12-Jan-12,3.15,3.45,3.15,3.15,1143
11-Jan-12,3.00,3.22,2.85,3.15,4973
10-Jan-12,2.85,3.00,2.85,2.85,3592
9-Jan-12,2.85,2.85,2.70,2.85,3975
6-Jan-12,2.85,3.00,2.70,3.00,3130
5-Jan-12,2.92,2.92,2.70,2.70,4445
4-Jan-12,2.70,2.85,2.43,2.70,3353
3-Jan-12,2.70,3.00,2.70,2.92,5567
30-Dec-11,2.70,2.70,2.70,2.70,0
29-Dec-11,3.30,3.30,1.95,2.85,22630
28-Dec-11,3.30,3.30,3.15,3.15,13958
27-Dec-11,3.51,3.75,3.15,3.30,15016
23-Dec-11,3.75,3.75,3.75,3.75,0
22-Dec-11,3.60,3.75,3.30,3.38,6064
21-Dec-11,3.45,3.75,3.45,3.68,2987
20-Dec-11,3.45,3.90,3.22,3.48,6433
19-Dec-11,4.05,4.05,3.60,3.60,4986
16-Dec-11,3.90,4.20,3.75,3.75,4865
15-Dec-11,3.75,4.16,3.75,3.90,1804
14-Dec-11,4.20,4.42,3.60,4.05,2570
13-Dec-11,3.75,4.42,3.75,4.34,6475
12-Dec-11,3.88,4.05,3.75,3.75,3342
9-Dec-11,4.05,4.50,3.45,3.46,8449
8-Dec-11,3.90,3.90,3.30,3.45,4966
7-Dec-11,3.75,4.05,3.45,3.60,3253
6-Dec-11,4.20,4.77,3.00,3.75,14743
5-Dec-11,4.20,4.95,4.05,4.05,9624
2-Dec-11,4.23,5.10,3.92,4.20,24296
1-Dec-11,4.49,4.49,3.75,3.75,5698
30-Nov-11,4.05,4.50,3.90,4.05,3705
29-Nov-11,3.75,4.05,3.75,3.90,8013
28-Nov-11,3.45,4.68,3.45,3.90,33708
25-Nov-11,3.30,3.75,3.15,3.30,27342
23-Nov-11,3.15,3.15,3.15,3.15,0
22-Nov-11,6.15,6.15,5.40,5.56,8255
21-Nov-11,6.30,6.40,6.00,6.04,1901
18-Nov-11,7.35,7.35,6.20,6.30,1832
17-Nov-11,6.30,7.05,6.30,6.90,3274
16-Nov-11,6.58,7.05,6.30,6.30,2049
15-Nov-11,7.20,7.20,6.60,6.64,2417
14-Nov-11,7.20,7.71,6.76,6.76,3094
11-Nov-11,9.45,9.45,7.20,7.20,14808
10-Nov-11,10.20,10.20,9.45,9.60,676
9-Nov-11,9.90,10.50,9.45,9.90,1547
8-Nov-11,10.05,10.49,10.05,10.49,367
7-Nov-11,10.05,10.35,9.95,10.35,503
4-Nov-11,10.50,11.10,9.90,10.20,1262
3-Nov-11,10.05,10.65,9.90,10.51,905
2-Nov-11,10.50,10.50,10.05,10.08,1205
1-Nov-11,10.50,10.92,10.20,10.80,5193
31-Oct-11,10.50,11.10,10.35,10.50,2045
28-Oct-11,10.65,10.95,10.50,10.83,1407
27-Oct-11,11.85,11.85,10.35,10.95,2391
26-Oct-11,11.25,11.25,10.65,10.88,2693
25-Oct-11,11.90,11.90,11.27,11.27,1036
24-Oct-11,12.00,12.30,11.44,12.00,848
21-Oct-11,11.40,12.30,11.28,12.30,280
20-Oct-11,11.55,12.00,11.25,11.55,176
19-Oct-11,12.00,12.10,11.25,12.02,5646
18-Oct-11,12.45,12.64,12.00,12.64,1477
17-Oct-11,12.90,13.50,12.45,12.45,3737
14-Oct-11,14.40,14.40,12.00,12.30,8128
13-Oct-11,15.00,15.15,12.75,13.88,14269
12-Oct-11,16.50,18.75,16.35,18.00,1210
11-Oct-11,16.20,20.55,15.00,16.35,11037
10-Oct-11,15.90,15.90,14.18,15.30,1568
7-Oct-11,16.05,16.20,16.05,16.05,334
6-Oct-11,16.05,16.05,16.05,16.05,90
5-Oct-11,16.50,16.50,16.50,16.50,0
4-Oct-11,15.00,16.50,13.80,15.75,982
3-Oct-11,15.00,15.20,15.00,15.00,1210
30-Sep-11,15.00,16.05,15.00,15.30,784
29-Sep-11,16.80,16.80,15.00,15.00,1381
28-Sep-11,17.25,17.48,16.20,16.20,307
27-Sep-11,15.75,17.70,15.75,17.70,409
26-Sep-11,15.30,15.30,15.00,15.15,453
23-Sep-11,15.75,16.80,15.00,15.15,1993
22-Sep-11,15.60,17.70,15.00,15.45,1731
21-Sep-11,16.80,17.40,16.65,16.65,850
20-Sep-11,16.50,18.00,15.90,17.25,2622
19-Sep-11,16.80,18.90,15.75,16.05,1918
16-Sep-11,18.00,18.00,16.86,17.10,635
15-Sep-11,17.10,18.00,17.10,18.00,610
14-Sep-11,17.40,18.75,17.40,18.30,1155
13-Sep-11,17.70,18.45,17.40,17.40,824
12-Sep-11,18.75,19.20,18.15,18.15,540
9-Sep-11,19.95,20.70,19.05,19.20,460
8-Sep-11,19.28,19.50,19.28,19.50,17
7-Sep-11,18.75,21.30,18.45,18.75,1153
6-Sep-11,19.95,20.55,18.90,18.90,751
2-Sep-11,21.75,21.75,20.38,20.38,648
1-Sep-11,22.50,22.50,21.60,21.60,458
31-Aug-11,25.65,25.65,22.95,22.95,367
30-Aug-11,25.05,25.80,24.30,24.90,441
29-Aug-11,23.40,24.15,22.95,23.55,796
26-Aug-11,23.10,23.10,21.90,22.80,504
25-Aug-11,24.45,26.70,21.30,22.50,3080
24-Aug-11,20.85,23.55,20.25,23.55,4576
23-Aug-11,17.10,20.70,17.10,20.20,4954
22-Aug-11,17.55,18.90,16.80,17.06,545
19-Aug-11,18.46,18.90,17.25,17.85,846
18-Aug-11,17.40,18.75,16.65,18.16,1945
17-Aug-11,16.93,17.85,16.65,17.25,1556
16-Aug-11,18.00,18.01,18.00,18.01,1487
15-Aug-11,16.95,18.90,16.95,18.00,1699
12-Aug-11,16.35,17.10,16.35,17.10,681
11-Aug-11,15.75,16.20,15.69,16.20,348
10-Aug-11,15.00,16.05,15.00,16.04,657
9-Aug-11,0.00,16.05,13.88,15.15,3140
8-Aug-11,13.65,15.75,13.65,14.10,952
5-Aug-11,16.50,18.00,15.00,15.15,2192
4-Aug-11,19.20,19.20,16.95,17.10,2170
3-Aug-11,20.70,22.50,18.30,18.75,3862
2-Aug-11,22.35,23.25,19.35,20.85,6799
1-Aug-11,19.80,20.70,18.00,20.70,1983
29-Jul-11,21.75,21.75,18.15,19.50,1675
28-Jul-11,18.45,19.52,17.40,17.40,3182
27-Jul-11,18.90,20.70,18.30,18.45,4292
26-Jul-11,23.40,25.80,18.75,19.05,12572
25-Jul-11,22.50,22.50,20.40,21.15,2084
22-Jul-11,23.40,23.40,21.95,22.05,3884
21-Jul-11,22.80,24.30,21.75,22.50,2397
20-Jul-11,25.50,25.50,22.80,23.85,1281
19-Jul-11,23.85,24.56,22.65,24.45,4737
18-Jul-11,27.60,27.60,24.30,24.75,8021
15-Jul-11,23.55,28.35,22.80,23.10,8843
14-Jul-11,21.75,36.45,21.68,27.00,62302
13-Jul-11,20.25,22.50,20.16,22.05,2991
12-Jul-11,17.40,21.00,17.40,20.40,3034
11-Jul-11,17.40,18.75,16.50,17.10,3584
8-Jul-11,18.15,19.05,16.65,18.75,4791
7-Jul-11,0.00,17.40,16.50,17.40,2036
6-Jul-11,3.90,3.90,3.90,3.90,0
5-Jul-11,4.50,4.65,3.94,4.35,19510
1-Jul-11,4.35,4.35,4.35,4.35,0
30-Jun-11,4.29,4.47,3.90,4.35,10204
29-Jun-11,4.80,4.80,4.05,4.05,8618
28-Jun-11,4.20,4.58,4.08,4.08,20907
27-Jun-11,4.93,4.95,4.05,4.20,14544
24-Jun-11,5.25,5.25,4.88,4.88,2627
23-Jun-11,4.35,4.93,4.05,4.80,2414
22-Jun-11,4.50,4.50,4.35,4.36,2603
21-Jun-11,4.50,4.50,4.31,4.50,8577
20-Jun-11,4.50,4.50,3.00,4.20,28184
17-Jun-11,4.78,4.78,4.35,4.50,16436
16-Jun-11,4.50,5.12,4.13,4.65,28023
15-Jun-11,4.50,4.95,4.25,4.72,14622
14-Jun-11,5.70,5.70,4.20,4.73,20416
13-Jun-11,5.70,5.70,4.80,5.10,5432
10-Jun-11,5.97,5.97,5.14,5.48,6621
9-Jun-11,5.25,5.77,5.25,5.77,4216
8-Jun-11,6.00,6.00,5.12,5.55,11830
7-Jun-11,6.22,6.22,5.72,6.00,5304
6-Jun-11,6.03,6.60,5.85,6.00,2724
3-Jun-11,6.02,6.37,6.00,6.00,4361
2-Jun-11,6.60,6.60,6.14,6.16,5119
1-Jun-11,6.75,6.75,6.00,6.40,7670
31-May-11,6.59,6.75,6.45,6.45,8839
27-May-11,6.29,6.29,6.29,6.29,0
26-May-11,6.75,6.75,6.60,6.60,3021
